"Code postal","Localité","Sous-commune","Commune Principale","Province"
7510,"3 Suisses",,"3 Suisses",
9300,"Aalst","Non","Aalst","Flandre Orientale"
9308,"Gijzegem","Oui","Aalst","Flandre Orientale"
9308,"Hofstade","Oui","Aalst","Flandre Orientale"
9310,"Baardegem","Oui","Aalst","Flandre Orientale"
9310,"Herdersem","Oui","Aalst","Flandre Orientale"
9310,"Meldert","Oui","Aalst","Flandre Orientale"
9310,"Moorsel","Oui","Aalst","Flandre Orientale"
9320,"Erembodegem","Oui","Aalst","Flandre Orientale"
9320,"Nieuwerkerken","Oui","Aalst","Flandre Orientale"
9880,"Aalter","Non","Aalter","Flandre Orientale"
9880,"Lotenhulle","Oui","Aalter","Flandre Orientale"
9880,"Poeke","Oui","Aalter","Flandre Orientale"
9881,"Bellem","Oui","Aalter","Flandre Orientale"
9910,"Knesselare","Oui","Aalter","Flandre Orientale"
9910,"Ursel","Oui","Aalter","Flandre Orientale"
3200,"Aarschot","Non","Aarschot","Brabant Flamand"
3200,"Gelrode","Oui","Aarschot","Brabant Flamand"
3201,"Langdorp","Oui","Aarschot","Brabant Flamand"
3202,"Rillaar","Oui","Aarschot","Brabant Flamand"
2630,"Aartselaar","Non","Aartselaar","Anvers"
1105,"ACTISOC",,"Actisoc",
1790,"Affligem","Non","Affligem","Brabant Flamand"
1790,"Essene","Oui","Affligem","Brabant Flamand"
1790,"Hekelgem","Oui","Affligem","Brabant Flamand"
1790,"Teralfene","Oui","Affligem","Brabant Flamand"
6250,"Aiseau","Oui","Aiseau-Presles","Hainaut"
6250,"Pont-de-Loup","Oui","Aiseau-Presles","Hainaut"
6250,"Presles","Oui","Aiseau-Presles","Hainaut"
6250,"Roselies","Oui","Aiseau-Presles","Hainaut"
3570,"Alken","Non","Alken","Limbourg"
8690,"Alveringem","Non","Alveringem","Flandre Occidentale"
8690,"Hoogstade","Oui","Alveringem","Flandre Occidentale"
8690,"Oeren","Oui","Alveringem","Flandre Occidentale"
8690,"Sint-Rijkers","Oui","Alveringem","Flandre Occidentale"
8691,"Beveren-aan-de-IJzer","Oui","Alveringem","Flandre Occidentale"
8691,"Gijverinkhove","Oui","Alveringem","Flandre Occidentale"
8691,"Izenberge","Oui","Alveringem","Flandre Occidentale"
8691,"Leisele","Oui","Alveringem","Flandre Occidentale"
8691,"Stavele","Oui","Alveringem","Flandre Occidentale"
4540,"Amay","Non","Amay","Liege"
4540,"Ampsin","Oui","Amay","Liege"
4540,"Flône","Oui","Amay","Liege"
4540,"Jehay","Oui","Amay","Liege"
4540,"Ombret","Oui","Amay","Liege"
4770,"Amblève","Non","Amblève","Liege"
4770,"Meyerode","Oui","Amblève","Liege"
4771,"Heppenbach","Oui","Amblève","Liege"
5300,"Andenne","Non","Andenne","Namur"
5300,"Bonneville","Oui","Andenne","Namur"
5300,"Coutisse","Oui","Andenne","Namur"
5300,"Landenne","Oui","Andenne","Namur"
5300,"Maizeret","Oui","Andenne","Namur"
5300,"Namêche","Oui","Andenne","Namur"
5300,"Sclayn","Oui","Andenne","Namur"
5300,"Seilles","Oui","Andenne","Namur"
5300,"Thon","Oui","Andenne","Namur"
5300,"Vezin","Oui","Andenne","Namur"
1070,"Anderlecht","Non","Anderlecht","Bruxelles"
6150,"Anderlues","Non","Anderlues","Hainaut"
5537,"Anhée","Non","Anhée","Namur"
5537,"Annevoie-Rouillon","Oui","Anhée","Namur"
5537,"Bioul","Oui","Anhée","Namur"
5537,"Denée","Oui","Anhée","Namur"
5537,"Haut-le-Wastia","Oui","Anhée","Namur"
5537,"Sosoye","Oui","Anhée","Namur"
5537,"Warnant","Oui","Anhée","Namur"
4430,"Ans","Non","Ans","Liege"
4431,"Loncin","Oui","Ans","Liege"
4432,"Alleur","Oui","Ans","Liege"
4432,"Xhendremael","Oui","Ans","Liege"
4160,"Anthisnes","Non","Anthisnes","Liege"
4161,"Villers-aux-Tours","Oui","Anthisnes","Liege"
4162,"Hody","Oui","Anthisnes","Liege"
4163,"Tavier","Oui","Anthisnes","Liege"
7640,"Antoing","Non","Antoing","Hainaut"
7640,"Maubray","Oui","Antoing","Hainaut"
7640,"Péronnes-lez-Antoing","Oui","Antoing","Hainaut"
7641,"Bruyelle","Oui","Antoing","Hainaut"
7642,"Calonne","Oui","Antoing","Hainaut"
7643,"Fontenoy","Oui","Antoing","Hainaut"
2000,"Antwerpen","Non","Antwerpen","Anvers"
2018,"Antwerpen","Non","Antwerpen","Anvers"
2020,"Antwerpen","Non","Antwerpen","Anvers"
2030,"Antwerpen","Non","Antwerpen","Anvers"
2040,"Antwerpen","Non","Antwerpen","Anvers"
2040,"Berendrecht","Oui","Antwerpen","Anvers"
2040,"Lillo","Oui","Antwerpen","Anvers"
2040,"Zandvliet","Oui","Antwerpen","Anvers"
2050,"Antwerpen","Non","Antwerpen","Anvers"
2060,"Antwerpen","Non","Antwerpen","Anvers"
2100,"Deurne","Oui","Antwerpen","Anvers"
2140,"Borgerhout","Oui","Antwerpen","Anvers"
2170,"Merksem","Oui","Antwerpen","Anvers"
2180,"Ekeren","Oui","Antwerpen","Anvers"
2600,"Berchem","Oui","Antwerpen","Anvers"
2610,"Wilrijk","Oui","Antwerpen","Anvers"
2660,"Hoboken","Oui","Antwerpen","Anvers"
2099,"Antwerpen x",,"Antwerpen X",
8570,"Anzegem","Non","Anzegem","Flandre Occidentale"
8570,"Gijzelbrechtegem","Oui","Anzegem","Flandre Occidentale"
8570,"Ingooigem","Oui","Anzegem","Flandre Occidentale"
8570,"Vichte","Oui","Anzegem","Flandre Occidentale"
8572,"Kaster","Oui","Anzegem","Flandre Occidentale"
8573,"Tiegem","Oui","Anzegem","Flandre Occidentale"
8850,"Ardooie","Non","Ardooie","Flandre Occidentale"
8851,"Koolskamp","Oui","Ardooie","Flandre Occidentale"
2370,"Arendonk","Non","Arendonk","Anvers"
6700,"Arlon","Non","Arlon","Luxembourg"
6700,"Bonnert","Oui","Arlon","Luxembourg"
6700,"Heinsch","Oui","Arlon","Luxembourg"
6700,"Toernich","Oui","Arlon","Luxembourg"
6704,"Guirsch","Oui","Arlon","Luxembourg"
6706,"Autelbas","Oui","Arlon","Luxembourg"
3665,"As","Non","As","Limbourg"
3668,"Niel-bij-As","Oui","As","Limbourg"
1730,"Asse","Non","Asse","Brabant Flamand"
1730,"Bekkerzeel","Oui","Asse","Brabant Flamand"
1730,"Kobbegem","Oui","Asse","Brabant Flamand"
1730,"Mollem","Oui","Asse","Brabant Flamand"
1731,"Relegem","Oui","Asse","Brabant Flamand"
1731,"Zellik","Oui","Asse","Brabant Flamand"
1007,"Assemblée de la Commission Communautaire Française",,"Assemblée De La Commission Communautaire Française",
1005,"Assemblée Réunie de la Commission Communautaire",,"Assemblée Réunie De La Commission Communautaire",
9960,"Assenede","Non","Assenede","Flandre Orientale"
9961,"Boekhoute","Oui","Assenede","Flandre Orientale"
9968,"Bassevelde","Oui","Assenede","Flandre Orientale"
9968,"Oosteeklo","Oui","Assenede","Flandre Orientale"
5330,"Assesse","Non","Assesse","Namur"
5330,"Maillen","Oui","Assesse","Namur"
5330,"Sart-Bernard","Oui","Assesse","Namur"
5332,"Crupet","Oui","Assesse","Namur"
5333,"Sorinne-la-Longue","Oui","Assesse","Namur"
5334,"Florée","Oui","Assesse","Namur"
5336,"Courrière","Oui","Assesse","Namur"
7800,"Ath","Non","Ath","Hainaut"
7800,"Lanquesaint","Oui","Ath","Hainaut"
7801,"Irchonwelz","Oui","Ath","Hainaut"
7802,"Ormeignies","Oui","Ath","Hainaut"
7803,"Bouvignies","Oui","Ath","Hainaut"
7804,"Ostiches","Oui","Ath","Hainaut"
7804,"Rebaix","Oui","Ath","Hainaut"
7810,"Maffle","Oui","Ath","Hainaut"
7811,"Arbre","Oui","Ath","Hainaut"
7812,"Houtaing","Oui","Ath","Hainaut"
7812,"Ligne","Oui","Ath","Hainaut"
7812,"Mainvault","Oui","Ath","Hainaut"
7812,"Moulbaix","Oui","Ath","Hainaut"
7812,"Villers-Notre-Dame","Oui","Ath","Hainaut"
7812,"Villers-Saint-Amand","Oui","Ath","Hainaut"
7822,"Ghislenghien","Oui","Ath","Hainaut"
7822,"Isières","Oui","Ath","Hainaut"
7822,"Meslin-l'Évêque","Oui","Ath","Hainaut"
7823,"Gibecq","Oui","Ath","Hainaut"
6717,"Attert","Non","Attert","Luxembourg"
6717,"Nobressart","Oui","Attert","Luxembourg"
6717,"Nothomb","Oui","Attert","Luxembourg"
6717,"Thiaumont","Oui","Attert","Luxembourg"
6717,"Tontelange","Oui","Attert","Luxembourg"
6790,"Aubange","Non","Aubange","Luxembourg"
6791,"Athus","Oui","Aubange","Luxembourg"
6792,"Halanzy","Oui","Aubange","Luxembourg"
6792,"Rachecourt","Oui","Aubange","Luxembourg"
4880,"Aubel","Non","Aubel","Liege"
1160,"Auderghem","Non","Auderghem","Bruxelles"
8580,"Avelgem","Non","Avelgem","Flandre Occidentale"
8581,"Kerkhove","Oui","Avelgem","Flandre Occidentale"
8581,"Waarmaarde","Oui","Avelgem","Flandre Occidentale"
8582,"Outrijve","Oui","Avelgem","Flandre Occidentale"
8583,"Bossuit","Oui","Avelgem","Flandre Occidentale"
4340,"Awans","Non","Awans","Liege"
4340,"Fooz","Oui","Awans","Liege"
4340,"Othée","Oui","Awans","Liege"
4340,"Villers-l'Evêque","Oui","Awans","Liege"
4342,"Hognoul","Oui","Awans","Liege"
4920,"Aywaille","Non","Aywaille","Liege"
4920,"Ernonheid","Oui","Aywaille","Liege"
4920,"Harzé","Oui","Aywaille","Liege"
4920,"Louveigné","Oui","Aywaille","Liege"
4920,"Sougné-Remouchamps","Oui","Aywaille","Liege"
2387,"Baarle-Hertog","Non","Baarle-Hertog","Anvers"
4837,"Baelen","Non","Baelen","Liege"
4837,"Membach","Oui","Baelen","Liege"
2490,"Balen","Non","Balen","Anvers"
2491,"Olmen","Oui","Balen","Anvers"
4690,"Bassenge","Non","Bassenge","Liege"
4690,"Boirs","Oui","Bassenge","Liege"
4690,"Eben-Emael","Oui","Bassenge","Liege"
4690,"Glons","Oui","Bassenge","Liege"
4690,"Roclenge-sur-Geer","Oui","Bassenge","Liege"
4690,"Wonck","Oui","Bassenge","Liege"
6600,"Bastogne","Non","Bastogne","Luxembourg"
6600,"Longvilly","Oui","Bastogne","Luxembourg"
6600,"Noville","Oui","Bastogne","Luxembourg"
6600,"Villers-la-Bonne-Eau","Oui","Bastogne","Luxembourg"
6600,"Wardin","Oui","Bastogne","Luxembourg"
6500,"Beaumont","Non","Beaumont","Hainaut"
6500,"Barbençon","Oui","Beaumont","Hainaut"
6500,"Leugnies","Oui","Beaumont","Hainaut"
6500,"Leval-Chaudeville","Oui","Beaumont","Hainaut"
6500,"Renlies","Oui","Beaumont","Hainaut"
6500,"Solre-Saint-Géry","Oui","Beaumont","Hainaut"
6500,"Thirimont","Oui","Beaumont","Hainaut"
6511,"Strée","Oui","Beaumont","Hainaut"
5570,"Beauraing","Non","Beauraing","Namur"
5570,"Baronville","Oui","Beauraing","Namur"
5570,"Dion","Oui","Beauraing","Namur"
5570,"Felenne","Oui","Beauraing","Namur"
5570,"Feschaux","Oui","Beauraing","Namur"
5570,"Honnay","Oui","Beauraing","Namur"
5570,"Javingue","Oui","Beauraing","Namur"
5570,"Vonêche","Oui","Beauraing","Namur"
5570,"Wancennes","Oui","Beauraing","Namur"
5570,"Winenne","Oui","Beauraing","Namur"
5571,"Wiesme","Oui","Beauraing","Namur"
5572,"Focant","Oui","Beauraing","Namur"
5573,"Martouzin-Neuville","Oui","Beauraing","Namur"
5574,"Pondrôme","Oui","Beauraing","Namur"
5576,"Froidfontaine","Oui","Beauraing","Namur"
1320,"Beauvechain","Non","Beauvechain","Brabant Wallon"
1320,"Hamme-Mille","Oui","Beauvechain","Brabant Wallon"
1320,"l'Écluse","Oui","Beauvechain","Brabant Wallon"
1320,"Nodebais","Oui","Beauvechain","Brabant Wallon"
1320,"Tourinnes-la-Grosse","Oui","Beauvechain","Brabant Wallon"
8730,"Beernem","Non","Beernem","Flandre Occidentale"
8730,"Oedelem","Oui","Beernem","Flandre Occidentale"
8730,"Sint-Joris","Oui","Beernem","Flandre Occidentale"
2340,"Beerse","Non","Beerse","Anvers"
2340,"Vlimmeren","Oui","Beerse","Anvers"
1650,"Beersel","Non","Beersel","Brabant Flamand"
1651,"Lot","Oui","Beersel","Brabant Flamand"
1652,"Alsemberg","Oui","Beersel","Brabant Flamand"
1653,"Dworp","Oui","Beersel","Brabant Flamand"
1654,"Huizingen","Oui","Beersel","Brabant Flamand"
3130,"Begijnendijk","Non","Begijnendijk","Brabant Flamand"
3130,"Betekom","Oui","Begijnendijk","Brabant Flamand"
3460,"Bekkevoort","Non","Bekkevoort","Brabant Flamand"
3460,"Assent","Oui","Bekkevoort","Brabant Flamand"
3461,"Molenbeek-Wersbeek","Oui","Bekkevoort","Brabant Flamand"
7970,"Beloeil","Non","Beloeil","Hainaut"
7971,"Basècles","Oui","Beloeil","Hainaut"
7971,"Ramegnies","Oui","Beloeil","Hainaut"
7971,"Thumaide","Oui","Beloeil","Hainaut"
7971,"Wadelincourt","Oui","Beloeil","Hainaut"
7972,"Aubechies","Oui","Beloeil","Hainaut"
7972,"Ellignies-Sainte-Anne","Oui","Beloeil","Hainaut"
7972,"Quevaucamps","Oui","Beloeil","Hainaut"
7973,"Grandglise","Oui","Beloeil","Hainaut"
7973,"Stambruges","Oui","Beloeil","Hainaut"
1082,"Berchem-Sainte-Agathe","Non","Berchem-Sainte-Agathe","Bruxelles"
3580,"Beringen","Non","Beringen","Limbourg"
3581,"Beverlo","Oui","Beringen","Limbourg"
3582,"Koersel","Oui","Beringen","Limbourg"
3583,"Paal","Oui","Beringen","Limbourg"
2590,"Berlaar","Non","Berlaar","Anvers"
2590,"Gestel","Oui","Berlaar","Anvers"
9290,"Berlare","Non","Berlare","Flandre Orientale"
9290,"Overmere","Oui","Berlare","Flandre Orientale"
9290,"Uitbergen","Oui","Berlare","Flandre Orientale"
4257,"Berloz","Non","Berloz","Liege"
4257,"Corswarem","Oui","Berloz","Liege"
4257,"Rosoux-Crenwick","Oui","Berloz","Liege"
7320,"Bernissart","Non","Bernissart","Hainaut"
7321,"Blaton","Oui","Bernissart","Hainaut"
7321,"Harchies","Oui","Bernissart","Hainaut"
7322,"Pommeroeul","Oui","Bernissart","Hainaut"
7322,"Ville-Pommeroeul","Oui","Bernissart","Hainaut"
3060,"Bertem","Non","Bertem","Brabant Flamand"
3060,"Korbeek-Dijle","Oui","Bertem","Brabant Flamand"
3061,"Leefdaal","Oui","Bertem","Brabant Flamand"
6686,"Flamierge","Oui","Bertogne","Luxembourg"
6687,"Bertogne","Non","Bertogne","Luxembourg"
6688,"Longchamps","Oui","Bertogne","Luxembourg"
6880,"Bertrix","Non","Bertrix","Luxembourg"
6880,"Auby-sur-Semois","Oui","Bertrix","Luxembourg"
6880,"Cugnon","Oui","Bertrix","Luxembourg"
6880,"Jehonville","Oui","Bertrix","Luxembourg"
6880,"Orgeo","Oui","Bertrix","Luxembourg"
9120,"Beveren-Waas","Non","Beveren-Waas","Flandre Orientale"
9120,"Haasdonk","Oui","Beveren-Waas","Flandre Orientale"
9120,"Kallo","Oui","Beveren-Waas","Flandre Orientale"
9120,"Melsele","Oui","Beveren-Waas","Flandre Orientale"
9120,"Vrasene","Oui","Beveren-Waas","Flandre Orientale"
9130,"Doel","Oui","Beveren-Waas","Flandre Orientale"
9130,"Kallo","Oui","Beveren-Waas","Flandre Orientale"
9130,"Kieldrecht","Oui","Beveren-Waas","Flandre Orientale"
9130,"Verrebroek","Oui","Beveren-Waas","Flandre Orientale"
4610,"Beyne-Heusay","Non","Beyne-Heusay","Liege"
4610,"Bellaire","Oui","Beyne-Heusay","Liege"
4610,"Queue-du-Bois","Oui","Beyne-Heusay","Liege"
3360,"Bierbeek","Non","Bierbeek","Brabant Flamand"
3360,"Korbeek-Lo","Oui","Bierbeek","Brabant Flamand"
3360,"Lovenjoel","Oui","Bierbeek","Brabant Flamand"
3360,"Opvelp","Oui","Bierbeek","Brabant Flamand"
1547,"Biévène","Non","Biévène","Brabant Flamand"
5555,"Bièvre","Non","Bièvre","Namur"
5555,"Baillamont","Oui","Bièvre","Namur"
5555,"Bellefontaine","Oui","Bièvre","Namur"
5555,"Cornimont","Oui","Bièvre","Namur"
5555,"Graide","Oui","Bièvre","Namur"
5555,"Gros-Fays","Oui","Bièvre","Namur"
5555,"Monceau-en-Ardenne","Oui","Bièvre","Namur"
5555,"Naomé","Oui","Bièvre","Namur"
5555,"Oizy","Oui","Bièvre","Namur"
5555,"Petit-Fays","Oui","Bièvre","Namur"
3740,"Bilzen","Non","Bilzen","Limbourg"
3740,"Beverst","Oui","Bilzen","Limbourg"
3740,"Eigenbilzen","Oui","Bilzen","Limbourg"
3740,"Grote-Spouwen","Oui","Bilzen","Limbourg"
3740,"Hees","Oui","Bilzen","Limbourg"
3740,"Kleine-Spouwen","Oui","Bilzen","Limbourg"
3740,"Mopertingen","Oui","Bilzen","Limbourg"
3740,"Munsterbilzen","Oui","Bilzen","Limbourg"
3740,"Rijkhoven","Oui","Bilzen","Limbourg"
3740,"Rosmeer","Oui","Bilzen","Limbourg"
3740,"Waltwilder","Oui","Bilzen","Limbourg"
3742,"Martenslinde","Oui","Bilzen","Limbourg"
3746,"Hoelbeek","Oui","Bilzen","Limbourg"
7130,"Binche","Non","Binche","Hainaut"
7130,"Battignies","Oui","Binche","Hainaut"
7130,"Bray","Oui","Binche","Hainaut"
7131,"Waudrez","Oui","Binche","Hainaut"
7133,"Buvrinnes","Oui","Binche","Hainaut"
7134,"Epinois","Oui","Binche","Hainaut"
7134,"Leval-Trahegnies","Oui","Binche","Hainaut"
7134,"Péronnes-lez-Binche","Oui","Binche","Hainaut"
7134,"Ressaix","Oui","Binche","Hainaut"
8370,"Blankenberge","Non","Blankenberge","Flandre Occidentale"
8370,"Uitkerke","Oui","Blankenberge","Flandre Occidentale"
4670,"Blégny","Non","Blégny","Liege"
4670,"Mortier","Oui","Blégny","Liege"
4670,"Trembleur","Oui","Blégny","Liege"
4671,"Barchon","Oui","Blégny","Liege"
4671,"Housse","Oui","Blégny","Liege"
4671,"Saive","Oui","Blégny","Liege"
4672,"Saint-Remy","Oui","Blégny","Liege"
3950,"Bocholt","Non","Bocholt","Limbourg"
3950,"Kaulille","Oui","Bocholt","Limbourg"
3950,"Reppel","Oui","Bocholt","Limbourg"
2530,"Boechout","Non","Boechout","Anvers"
2531,"Vremde","Oui","Boechout","Anvers"
2820,"Bonheiden","Non","Bonheiden","Anvers"
2820,"Rijmenam","Oui","Bonheiden","Anvers"
2850,"Boom","Non","Boom","Anvers"
3190,"Boortmeerbeek","Non","Boortmeerbeek","Brabant Flamand"
3191,"Hever","Oui","Boortmeerbeek","Brabant Flamand"
3840,"Borgloon","Non","Borgloon","Limbourg"
3840,"Bommershoven","Oui","Borgloon","Limbourg"
3840,"Broekom","Oui","Borgloon","Limbourg"
3840,"Gors-Opleeuw","Oui","Borgloon","Limbourg"
3840,"Gotem","Oui","Borgloon","Limbourg"
3840,"Groot-Loon","Oui","Borgloon","Limbourg"
3840,"Haren","Oui","Borgloon","Limbourg"
3840,"Hendrieken","Oui","Borgloon","Limbourg"
3840,"Hoepertingen","Oui","Borgloon","Limbourg"
3840,"Jesseren","Oui","Borgloon","Limbourg"
3840,"Kerniel","Oui","Borgloon","Limbourg"
